type,logsize,thread,abort,conflict,capacity,explicit
plain,33056,1,29243.8000000,885.4000000,289.4000000,12134.2000000
plain,33056,2,15477.4000000,2128.6000000,309.0000000,12700.6000000
plain,33056,4,16604.2000000,1828.4000000,322.6000000,12755.0000000
plain,33056,8,18832.6000000,994.4000000,1379.8000000,12358.2000000
plain,33056,16,18642.8000000,552.6000000,1130.8000000,12389.4000000
plain,65824,1,38996.0000000,850.8000000,294.0000000,5946.4000000
plain,65824,2,14299.0000000,6949.6000000,348.4000000,6497.2000000
plain,65824,4,19757.6000000,11018.4000000,387.6000000,8000.2000000
plain,65824,8,15312.4000000,3855.8000000,1384.2000000,8186.2000000
plain,65824,16,12598.0000000,901.8000000,1153.0000000,7321.6000000
plain,131360,1,34592.8000000,1350.0000000,254.0000000,2941.6000000
plain,131360,2,7080.8000000,2841.0000000,341.8000000,3311.2000000
plain,131360,4,11182.8000000,6368.2000000,409.4000000,4016.8000000
plain,131360,8,11150.8000000,4356.4000000,1148.0000000,4877.2000000
plain,131360,16,11650.4000000,1486.6000000,1062.2000000,6176.0000000
plain,262432,1,25565.4000000,443.0000000,269.4000000,1462.8000000
plain,262432,2,4330.2000000,1407.2000000,339.6000000,1646.6000000
plain,262432,4,7316.8000000,4235.0000000,375.4000000,1968.0000000
plain,262432,8,8588.4000000,3856.2000000,1158.8000000,2296.0000000
plain,262432,16,10554.6000000,2624.0000000,1091.4000000,4355.2000000
plain,524576,1,47012.4000000,103.6000000,264.2000000,729.6000000
plain,524576,2,3165.4000000,1046.2000000,323.6000000,853.4000000
plain,524576,4,6126.0000000,3864.6000000,376.2000000,955.4000000
plain,524576,8,7377.0000000,3666.2000000,1354.0000000,1135.2000000
plain,524576,16,11391.2000000,5067.2000000,1351.8000000,2826.0000000
plain,1048864,1,25833.0000000,54.0000000,277.6000000,364.0000000
plain,1048864,2,3093.2000000,839.8000000,343.8000000,402.6000000
plain,1048864,4,6073.4000000,3675.4000000,386.0000000,479.8000000
plain,1048864,8,7257.4000000,3731.0000000,1229.8000000,688.6000000
plain,1048864,16,12275.6000000,7203.6000000,1136.6000000,1228.6000000
